player_id,name,age,gender,country,height,weight,ball_controlling_skills,body_reflexes,body_balance,jumping_skills,penalties_conversion_rate,mental_strength,goalkeeping_skills,defending_skills,passing_skills,dribbling_skills,shot_accuracy,body_strength_stamina,max_running_speed,strong_foot,behaviour_rating,matches_played,fitness_rating,trophies_won,dedication_level,coaching,years_of_experience,no_of_disqualifications,selection
PLID_1058,Elza Gately,21,F,Afghanistan,5'9,152lbs,62.0,81.0,78.0,72.0,41.0,56.0,11.0,54.0,51.0,32.0,40.0,62.0,27.8,Left,5.6,0.0,7.7,2.0,Medium,Academy,7.0,0.0,0
PLID_19629,Shyla Saylors,22,F,Sweden,5'10,163lbs,86.0,82.0,80.0,54.0,66.0,76.0,11.0,43.0,80.0,43.0,70.0,65.0,26.7,Right,8.3,38.0,7.6,5.0,Medium,Academy,8.0,5.0,1
PLID_21135,Donya Kowal,18,M,Switzerland,6'0,161lbs,47.0,68.0,61.0,32.0,50.0,43.0,10.0,28.0,46.0,28.0,45.0,43.0,21.6,Right,,0.0,3.1,3.0,Medium,Academy,4.0,0.0,0
PLID_22813,Alpha Smidt,18,F,Ghana,6'3,183lbs,63.0,73.0,37.0,83.0,49.0,72.0,11.0,62.0,55.0,28.0,49.0,81.0,24.4,Right,6.4,0.0,7.4,3.0,High,Academy,4.0,0.0,1
PLID_13644,Houston Kyser,24,M,Poland,6'2,176lbs,57.0,62.0,47.0,71.0,35.0,63.0,10.0,65.0,57.0,30.0,47.0,80.0,25.5,,4.7,0.0,8.7,0.0,High,Talent Hunt,10.0,0.0,0
PLID_17462,Clarinda Guarino,17,M,France,5'11,146lbs,64.0,67.0,69.0,69.0,47.0,65.0,10.0,60.0,61.0,32.0,46.0,62.0,23.5,Right,6.8,1.0,6.5,4.0,Medium,Academy,2.0,0.0,1
PLID_18564,Mara Hollenbach,26,M,Iceland,5'7,148lbs,68.0,81.0,87.0,75.0,63.0,66.0,10.0,65.0,67.0,35.0,60.0,75.0,26.2,Left,6.6,0.0,,1.0,High,Talent Hunt,12.0,0.0,0
PLID_1891,Leslie Guilbert,27,F,Bulgaria,5'10,154lbs,62.0,68.0,71.0,83.0,31.0,59.0,12.0,67.0,62.0,34.0,51.0,66.0,21.2,Left,5.9,0.0,7.3,4.0,High,Academy,13.0,0.0,0
PLID_22775,Andrea Turcios,26,F,England,6'1,165lbs,63.0,70.0,58.0,48.0,57.0,64.0,7.0,56.0,60.0,30.0,57.0,81.0,22.5,Right,6.2,0.0,9.0,2.0,Medium,Source,12.0,0.0,0
PLID_16736,Chantel Poquette,16,M,Mexico,6'0,,59.0,58.0,60.0,56.0,53.0,49.0,9.0,53.0,58.0,26.0,42.0,46.0,19.1,Right,5.7,0.0,3.4,5.0,Medium,Talent Hunt,2.0,0.0,1
PLID_4061,Jeanine Denker,19,M,Northern Ireland,6'0,,66.0,58.0,60.0,75.0,43.0,66.0,11.0,70.0,60.0,34.0,54.0,68.0,23.4,Right,6.8,1.0,6.2,5.0,Medium,Academy,5.0,0.0,1
PLID_18516,Sallie Furness,16,F,Uruguay,6'3,165lbs,42.0,54.0,57.0,64.0,37.0,42.0,9.0,54.0,39.0,20.0,33.0,59.0,20.0,Right,5.0,0.0,5.0,5.0,Medium,Academy,1.0,0.0,1
PLID_20052,Brenton Hullinger,16,M,Germany,5'11,165lbs,60.0,70.0,70.0,82.0,46.0,49.0,11.0,43.0,45.0,30.0,47.0,74.0,28.5,Right,4.4,0.0,8.3,4.0,High,Academy,2.0,0.0,1
PLID_4108,Joaquin Santistevan,27,M,Italy,6'4,,16.0,51.0,52.0,68.0,19.0,61.0,80.0,17.0,30.0,8.0,13.0,47.0,18.8,Right,7.5,75.0,3.4,3.0,Medium,Academy,12.0,8.0,1
PLID_15006,Geraldine Raglin,23,M,Ukraine,6'6,192lbs,63.0,42.0,39.0,42.0,39.0,58.0,11.0,40.0,39.0,32.0,,78.0,23.7,Any,6.4,1.0,6.9,5.0,Medium,Academy,9.0,0.0,0
PLID_23250,Herbert Rio,16,M,England,5'11,152lbs,55.0,67.0,70.0,44.0,44.0,50.0,12.0,53.0,54.0,30.0,42.0,60.0,25.1,Right,5.1,0.0,6.2,3.0,Medium,Academy,1.0,0.0,1
PLID_224,Jackson Ormsby,16,F,Germany,6'1,181lbs,54.0,69.0,66.0,72.0,33.0,53.0,10.0,56.0,52.0,27.0,39.0,72.0,26.0,Left,5.4,1.0,7.4,2.0,Medium,Academy,2.0,0.0,1
PLID_22340,Brinda Nardone,29,F,Ivory Coast,6'3,190lbs,57.0,31.0,31.0,65.0,19.0,62.0,10.0,68.0,44.0,30.0,34.0,72.0,20.0,Right,6.3,0.0,5.3,4.0,Medium,Academy,14.0,0.0,1
PLID_5703,Grace Miyamoto,21,F,Chile,5'9,165lbs,63.0,65.0,69.0,64.0,38.0,56.0,12.0,61.0,61.0,36.0,,76.0,27.2,Left,5.3,0.0,8.3,3.0,Medium,Unknown,6.0,0.0,0
PLID_1887,Giselle Bober,16,M,Germany,5'11,165lbs,55.0,65.0,63.0,62.0,37.0,41.0,7.0,55.0,55.0,27.0,41.0,54.0,22.1,Right,4.4,0.0,5.4,3.0,Medium,Unknown,2.0,0.0,1
PLID_15957,Dorotha Prideaux,26,F,Portugal,6'2,196lbs,60.0,49.0,57.0,61.0,67.0,72.0,11.0,68.0,61.0,18.0,48.0,75.0,19.8,None,6.9,0.0,7.0,5.0,Low,Unknown,11.0,0.0,1
PLID_22066,Jena Jeffreys,16,F,Italy,6'1,165lbs,36.0,57.0,55.0,53.0,48.0,40.0,9.0,62.0,35.0,36.0,37.0,59.0,22.5,Left,5.6,1.0,6.1,4.0,Medium,Academy,2.0,0.0,1
PLID_4277,Karlyn Ogren,22,F,New Zealand,5'6,141lbs,68.0,82.0,85.0,54.0,57.0,66.0,9.0,35.0,62.0,38.0,60.0,46.0,32.2,Any,5.9,,6.4,7.0,High,Academy,8.0,0.0,0
PLID_18693,Bulah Jasinski,16,F,Norway,5'9,150lbs,29.0,53.0,76.0,72.0,30.0,39.0,11.0,44.0,33.0,14.0,29.0,58.0,21.1,Right,4.0,1.0,5.6,2.0,Medium,Academy,2.0,0.0,0
PLID_5052,Carmelo Jeffords,17,F,France,5'9,143lbs,63.0,74.0,76.0,50.0,61.0,55.0,10.0,38.0,57.0,35.0,52.0,43.0,27.4,Right,5.2,0.0,5.4,1.0,Medium,Academy,2.0,0.0,1
PLID_4595,Mellissa Willman,29,M,Brazil,5'8,165lbs,81.0,74.0,77.0,76.0,59.0,82.0,13.0,78.0,76.0,42.0,72.0,70.0,27.4,Any,8.0,37.0,7.6,6.0,High,Academy,14.0,5.0,1
PLID_17601,Karri Mancil,22,F,Spain,5'9,163lbs,75.0,76.0,87.0,75.0,54.0,69.0,11.0,76.0,69.0,38.0,61.0,85.0,30.6,Right,7.2,0.0,9.6,7.0,High,Talent Hunt,8.0,0.0,1
PLID_11972,Aleta Oakman,19,F,Korea Republic,6'2,169lbs,41.0,55.0,62.0,50.0,34.0,41.0,10.0,53.0,44.0,22.0,39.0,62.0,21.2,Right,4.4,0.0,6.4,5.0,Low,Talent Hunt,5.0,0.0,0
PLID_12262,Larae Froman,32,F,France,6'1,179lbs,71.0,65.0,67.0,70.0,57.0,74.0,13.0,70.0,65.0,34.0,55.0,72.0,23.5,Right,7.4,36.0,6.7,5.0,Medium,Talent Hunt,18.0,6.0,1
PLID_10085,Genoveva Meadow,20,M,United States,6'0,160lbs,17.0,39.0,60.0,55.0,28.0,25.0,50.0,17.0,22.0,8.0,16.0,57.0,15.8,Right,4.5,1.0,4.5,3.0,Medium,Academy,6.0,0.0,0
PLID_20960,Grace Dagenhart,28,F,Scotland,6'2,165lbs,56.0,48.0,31.0,43.0,41.0,62.0,12.0,51.0,51.0,22.0,47.0,68.0,15.2,Right,4.1,1.0,6.0,4.0,Medium,Academy,14.0,0.0,0
PLID_8574,Lizette Tallmadge,19,M,Greece,6'0,165lbs,69.0,67.0,59.0,69.0,53.0,64.0,9.0,60.0,66.0,34.0,60.0,68.0,25.8,Right,,0.0,7.7,5.0,Medium,Academy,5.0,0.0,1
PLID_7934,Trinidad Howlett,20,F,England,6'1,163lbs,19.0,31.0,57.0,52.0,32.0,30.0,58.0,17.0,21.0,10.0,16.0,37.0,15.1,None,5.3,0.0,2.1,0.0,Medium,Academy,6.0,0.0,0
PLID_18690,Mayra Dinh,18,M,England,5'9,157lbs,,69.0,76.0,83.0,42.0,70.0,12.0,75.0,63.0,36.0,47.0,83.0,25.6,None,6.4,0.0,9.4,2.0,Medium,Talent Hunt,4.0,0.0,1
PLID_18377,Shona Pettiford,19,M,Scotland,6'2,157lbs,20.0,51.0,53.0,52.0,25.0,36.0,52.0,21.0,22.0,8.0,18.0,42.0,16.5,Right,4.4,0.0,1.9,2.0,Medium,Academy,4.0,0.0,0
PLID_6803,Aisha Eynon,29,F,Brazil,5'5,,74.0,93.0,85.0,64.0,59.0,76.0,10.0,38.0,52.0,38.0,67.0,48.0,31.1,Left,7.8,0.0,7.2,2.0,High,Unknown,14.0,0.0,1
PLID_129,Leanne Shores,31,F,Denmark,6'0,174lbs,64.0,59.0,68.0,66.0,62.0,64.0,11.0,58.0,64.0,32.0,62.0,66.0,21.1,Right,6.5,0.0,6.2,3.0,High,Academy,16.0,0.0,0
PLID_14816,Kena Hauff,16,M,Argentina,6'1,157lbs,58.0,62.0,55.0,70.0,53.0,42.0,7.0,30.0,40.0,34.0,52.0,73.0,24.4,Right,5.1,,7.0,4.0,High,Academy,1.0,0.0,1
PLID_22254,Pamula Edick,21,M,Belgium,5'10,163lbs,62.0,70.0,71.0,74.0,43.0,63.0,10.0,64.0,61.0,32.0,56.0,63.0,27.2,,5.7,0.0,5.9,3.0,High,Academy,7.0,-999.0,0
PLID_10617,Rosia Orndorff,17,F,Slovakia,6'5,187lbs,18.0,42.0,44.0,57.0,23.0,48.0,68.0,17.0,22.0,8.0,17.0,46.0,17.2,Right,5.3,0.0,2.6,4.0,Medium,Academy,2.0,0.0,1
PLID_19949,Genie Lineman,18,F,Argentina,5'5,137lbs,71.0,82.0,79.0,65.0,61.0,63.0,11.0,29.0,58.0,40.0,56.0,64.0,32.7,Right,5.9,0.0,6.6,7.0,High,Academy,4.0,0.0,1
PLID_1730,Vaughn Morgenstern,22,M,Russia,5'10,169lbs,65.0,70.0,68.0,67.0,41.0,63.0,9.0,69.0,67.0,38.0,48.0,76.0,29.7,Right,6.5,1.0,9.4,0.0,High,Academy,8.0,0.0,1
PLID_6782,Crista Albertini,22,F,Ghana,5'8,157lbs,75.0,81.0,80.0,90.0,65.0,74.0,3.0,48.0,66.0,39.0,64.0,61.0,33.2,None,6.3,0.0,6.8,7.0,Medium,Source,8.0,0.0,1
PLID_13523,Tyler Pfarr,25,M,Portugal,5'11,161lbs,69.0,70.0,66.0,71.0,54.0,56.0,10.0,65.0,70.0,36.0,66.0,66.0,21.6,Right,6.3,0.0,7.3,3.0,Medium,Academy,10.0,0.0,1
PLID_8720,Neoma Reitz,16,M,Scotland,5'10,161lbs,65.0,66.0,63.0,45.0,51.0,60.0,10.0,49.0,62.0,34.0,56.0,64.0,27.8,Right,5.4,,7.3,5.0,Medium,Academy,1.0,0.0,1
PLID_11651,Kathi Spigner,28,M,Japan,5'10,163lbs,49.0,58.0,56.0,65.0,36.0,59.0,11.0,52.0,45.0,13.0,,56.0,20.4,Any,6.3,0.0,5.3,2.0,Low,Academy,14.0,0.0,0
PLID_20491,Francie Seth,17,M,Italy,5'7,148lbs,60.0,78.0,83.0,66.0,56.0,59.0,11.0,29.0,48.0,32.0,57.0,48.0,27.8,Left,5.9,0.0,5.9,3.0,High,Source,2.0,0.0,1
PLID_3625,Riley Guilbert,22,F,Japan,5'10,171lbs,52.0,55.0,63.0,76.0,34.0,48.0,10.0,58.0,42.0,25.0,29.0,67.0,23.5,Right,5.0,0.0,6.2,3.0,Medium,Academy,7.0,0.0,0
PLID_11478,Millie Galgano,29,M,Korea Republic,5'9,163lbs,64.0,74.0,72.0,66.0,62.0,67.0,11.0,46.0,63.0,32.0,60.0,70.0,24.9,Left,7.0,0.0,6.2,6.0,High,Academy,15.0,0.0,0
PLID_13556,Jeremiah Roepke,22,F,United States,6'2,181lbs,61.0,54.0,56.0,77.0,58.0,59.0,12.0,40.0,41.0,28.0,62.0,62.0,19.6,Right,6.2,0.0,4.9,2.0,Medium,Academy,8.0,0.0,0
PLID_21561,Jeanine Kitch,16,M,Japan,5'7,143lbs,43.0,67.0,72.0,53.0,39.0,48.0,11.0,48.0,32.0,31.0,34.0,52.0,26.2,Left,4.2,0.0,6.1,3.0,Medium,Talent Hunt,2.0,0.0,0
PLID_22838,Wan Bichrest,21,M,England,5'11,161lbs,60.0,69.0,73.0,41.0,57.0,54.0,10.0,55.0,66.0,32.0,56.0,63.0,24.6,Right,6.2,0.0,7.3,3.0,Medium,Academy,7.0,0.0,0
PLID_8472,Herma Bender,21,F,Argentina,5'8,158lbs,69.0,80.0,70.0,73.0,58.0,66.0,13.0,43.0,61.0,38.0,59.0,64.0,31.8,Right,7.2,0.0,7.2,3.0,Medium,Academy,6.0,0.0,1
PLID_422,Herma Lewandowski,16,F,Spain,5'8,134lbs,66.0,63.0,76.0,38.0,72.0,67.0,14.0,37.0,65.0,40.0,61.0,48.0,24.2,Left,6.2,1.0,5.6,4.0,Medium,Academy,2.0,0.0,1
PLID_16452,Adina Harrell,25,F,Argentina,6'2,190lbs,67.0,49.0,38.0,46.0,62.0,61.0,12.0,69.0,62.0,34.0,60.0,80.0,21.1,Right,6.8,1.0,7.5,4.0,Medium,Talent Hunt,10.0,0.0,1
PLID_1345,Delsie Reichel,19,M,Togo,5'10,170lbs,65.0,78.0,74.0,74.0,40.0,65.0,11.0,60.0,59.0,33.0,56.0,66.0,29.4,Right,5.1,1.0,7.1,5.0,Medium,Academy,4.0,0.0,1
PLID_11994,Rex Bruneau,51,F,Slovenia,5'11,171lbs,,70.0,62.0,74.0,44.0,48.0,9.0,56.0,61.0,32.0,52.0,72.0,25.8,Left,6.0,1.0,7.7,2.0,Medium,Academy,10.0,0.0,0
PLID_1075,Hoyt Rodenberger,18,F,Finland,6'0,176lbs,60.0,53.0,61.0,70.0,44.0,63.0,10.0,55.0,60.0,36.0,59.0,68.0,28.5,Right,4.4,,7.5,2.0,Medium,Academy,3.0,0.0,1
PLID_14313,Laree Kos,22,M,Uruguay,6'0,152lbs,65.0,66.0,61.0,79.0,67.0,65.0,10.0,38.0,50.0,34.0,65.0,66.0,24.9,,6.6,0.0,6.6,6.0,High,Unknown,7.0,0.0,1
PLID_11500,Leanne Streicher,24,M,Argentina,5'11,161lbs,42.0,54.0,57.0,74.0,47.0,49.0,12.0,62.0,38.0,21.0,41.0,74.0,20.7,Right,5.7,1.0,7.3,2.0,Medium,Unknown,9.0,0.0,1
PLID_17872,Rex Krieger,20,M,Russia,6'2,187lbs,25.0,35.0,48.0,70.0,19.0,58.0,78.0,19.0,36.0,10.0,17.0,46.0,15.2,Any,6.3,0.0,2.3,5.0,Medium,Academy,5.0,0.0,1
PLID_7618,Mikel Guider,16,F,Australia,6'1,171lbs,54.0,60.0,54.0,30.0,40.0,55.0,10.0,51.0,45.0,26.0,29.0,59.0,22.6,Right,5.3,0.0,6.4,2.0,Medium,Talent Hunt,2.0,0.0,0
PLID_8642,Nilda Fritz,26,F,Denmark,6'4,185lbs,67.0,55.0,49.0,69.0,84.0,79.0,10.0,47.0,68.0,36.0,67.0,72.0,24.4,Right,6.9,37.0,6.7,5.0,Medium,Source,11.0,4.0,1
PLID_17361,Alayna Scheetz,20,M,France,5'9,139lbs,59.0,70.0,77.0,65.0,45.0,58.0,12.0,60.0,62.0,30.0,48.0,56.0,24.2,Right,5.9,0.0,7.3,1.0,Medium,Academy,5.0,0.0,1
PLID_9195,Kendrick Honea,22,M,Brazil,5'9,150lbs,60.0,69.0,58.0,73.0,30.0,52.0,10.0,31.0,57.0,35.0,,50.0,24.9,Right,3.4,1.0,6.9,4.0,Medium,Academy,8.0,0.0,0
PLID_201,Teri Sather,16,F,Iceland,6'3,157lbs,63.0,69.0,40.0,70.0,55.0,57.0,11.0,40.0,58.0,35.0,54.0,50.0,24.4,Right,4.8,0.0,3.2,2.0,Medium,Academy,1.0,0.0,1
PLID_23287,Francie Harvard,20,M,Mexico,6'1,163lbs,68.0,68.0,54.0,60.0,68.0,60.0,9.0,63.0,71.0,38.0,68.0,75.0,27.9,Right,5.9,0.0,8.3,3.0,High,Academy,6.0,0.0,1
PLID_2244,Edythe Cheeks,16,M,Netherlands,6'0,165lbs,17.0,25.0,44.0,59.0,17.0,37.0,56.0,12.0,21.0,4.0,10.0,28.0,10.8,Right,,1.0,1.5,1.0,Medium,Academy,2.0,0.0,1
PLID_4312,Elden Kealey,26,M,Paraguay,5'11,,72.0,79.0,69.0,60.0,67.0,73.0,13.0,68.0,70.0,38.0,66.0,72.0,29.5,Left,7.4,0.0,8.0,5.0,High,Academy,12.0,0.0,1
PLID_15396,Karlyn Leffler,18,M,England,5'10,161lbs,65.0,74.0,77.0,63.0,54.0,61.0,9.0,61.0,67.0,35.0,59.0,72.0,28.5,None,,0.0,8.8,5.0,High,Talent Hunt,3.0,0.0,1
PLID_14025,Polly Cimino,18,F,Belgium,5'10,179lbs,70.0,72.0,73.0,80.0,49.0,70.0,11.0,69.0,70.0,38.0,60.0,72.0,29.0,Right,7.0,0.0,8.6,3.0,High,Talent Hunt,3.0,0.0,1
PLID_16294,Jennette Sisler,30,F,Chile,5'8,157lbs,78.0,76.0,76.0,48.0,76.0,74.0,10.0,42.0,78.0,40.0,65.0,65.0,24.9,Right,7.1,39.0,7.3,4.0,Medium,Academy,15.0,4.0,1
PLID_11279,Gilda Alameda,16,M,Republic of Ireland,5'7,152lbs,46.0,60.0,69.0,50.0,26.0,48.0,10.0,48.0,46.0,28.0,30.0,58.0,24.4,Left,4.5,0.0,6.8,0.0,Medium,Academy,1.0,0.0,0
PLID_12704,Candida Barberio,16,M,Germany,5'11,143lbs,63.0,59.0,69.0,47.0,69.0,50.0,11.0,38.0,55.0,34.0,58.0,41.0,24.4,Right,2.9,0.0,,4.0,High,Academy,2.0,0.0,1
PLID_19934,Bulah Genovese,22,M,England,5'9,161lbs,63.0,81.0,81.0,74.0,49.0,63.0,11.0,45.0,62.0,34.0,52.0,68.0,26.0,Any,5.9,1.0,7.4,5.0,High,Source,7.0,0.0,0
PLID_1443,Paul Youngquist,16,F,England,5'10,140lbs,43.0,58.0,74.0,60.0,35.0,35.0,9.0,54.0,42.0,30.0,31.0,46.0,25.6,Left,5.3,0.0,5.5,2.0,Medium,Academy,2.0,0.0,0
PLID_2236,Merlyn Bruneau,16,M,Argentina,5'9,143lbs,71.0,84.0,78.0,61.0,58.0,69.0,8.0,43.0,66.0,40.0,60.0,60.0,29.7,Right,6.6,0.0,7.1,4.0,High,Unknown,1.0,0.0,1
PLID_19091,Palma Mirelez,18,F,Croatia,5'9,154lbs,63.0,53.0,74.0,57.0,46.0,59.0,11.0,49.0,63.0,33.0,53.0,65.0,25.8,Right,4.4,0.0,6.6,2.0,Medium,Academy,4.0,0.0,1
PLID_18772,Jackson Shoultz,16,F,Saudi Arabia,5'5,146lbs,58.0,65.0,69.0,44.0,41.0,54.0,10.0,52.0,54.0,29.0,41.0,57.0,25.5,Right,5.0,1.0,5.9,5.0,Medium,Academy,2.0,0.0,0
PLID_8572,Meghann Markland,16,F,Netherlands,6'1,161lbs,49.0,49.0,58.0,55.0,46.0,46.0,10.0,52.0,55.0,32.0,46.0,56.0,20.4,Right,4.8,,5.4,5.0,Medium,Academy,2.0,0.0,0
PLID_12945,Rocky Sharlow,25,M,Argentina,6'1,174lbs,61.0,58.0,42.0,76.0,53.0,66.0,10.0,66.0,60.0,26.0,53.0,71.0,24.9,Right,5.6,1.0,6.7,3.0,Medium,Academy,11.0,0.0,1
PLID_15595,Fatima Lundy,16,F,England,5'7,157lbs,72.0,71.0,80.0,47.0,58.0,64.0,11.0,42.0,65.0,38.0,59.0,53.0,25.8,None,6.2,0.0,5.6,2.0,Medium,Source,1.0,0.0,1
PLID_20171,Hilde Obey,22,M,Japan,5'9,161lbs,54.0,75.0,68.0,79.0,30.0,51.0,9.0,59.0,49.0,27.0,41.0,76.0,27.4,Left,5.9,0.0,7.9,1.0,High,Talent Hunt,8.0,0.0,0
PLID_6395,Darlena Leppert,16,M,England,5'9,154lbs,39.0,58.0,73.0,63.0,34.0,37.0,11.0,53.0,36.0,29.0,30.0,54.0,22.5,Any,4.6,0.0,5.9,4.0,Medium,Academy,1.0,0.0,1
PLID_3898,Bernadine Bouska,26,M,Colombia,6'0,179lbs,61.0,51.0,47.0,83.0,55.0,64.0,9.0,66.0,63.0,26.0,61.0,76.0,22.5,Left,,0.0,7.6,6.0,Medium,Academy,11.0,0.0,1
PLID_4046,Wiley Mcmorris,19,F,Wales,5'11,174lbs,56.0,73.0,68.0,69.0,44.0,55.0,11.0,55.0,54.0,32.0,42.0,71.0,27.9,Left,,1.0,8.9,2.0,High,Unknown,4.0,0.0,0
PLID_14414,Sol Camacho,21,M,Chile,5'9,165lbs,60.0,60.0,75.0,63.0,40.0,59.0,9.0,55.0,57.0,32.0,47.0,62.0,24.2,Right,5.1,1.0,7.2,5.0,Medium,Academy,6.0,0.0,0
PLID_9789,Erich Beckmann,21,M,Uruguay,5'11,160lbs,69.0,78.0,57.0,33.0,60.0,65.0,13.0,34.0,58.0,38.0,52.0,64.0,30.8,Any,6.3,0.0,7.5,3.0,Medium,Source,7.0,0.0,0
PLID_14570,Katrina Glasgow,20,M,Netherlands,5'8,139lbs,65.0,73.0,73.0,71.0,50.0,70.0,12.0,67.0,60.0,31.0,52.0,76.0,24.2,Right,6.6,0.0,8.5,3.0,Medium,Academy,5.0,0.0,1
PLID_20130,Margareta Bittner,23,M,France,6'0,176lbs,74.0,71.0,62.0,72.0,68.0,71.0,12.0,71.0,74.0,38.0,64.0,75.0,26.2,Right,7.6,39.0,8.4,2.0,Medium,Academy,9.0,5.0,1
PLID_18097,Bryce Lindbloom,19,F,Spain,5'9,159lbs,70.0,69.0,75.0,50.0,44.0,59.0,11.0,45.0,64.0,38.0,52.0,58.0,25.3,Left,6.2,0.0,5.6,2.0,Medium,Academy,5.0,0.0,1
PLID_17905,Thea Mcandrews,17,M,Italy,7'1,172lbs,65.0,66.0,75.0,64.0,68.0,60.0,12.0,45.0,54.0,34.0,63.0,65.0,28.1,Right,6.4,0.0,,5.0,High,Talent Hunt,3.0,0.0,1
PLID_369,Latoyia Schacherer,26,M,Portugal,5'9,154lbs,77.0,70.0,74.0,62.0,68.0,71.0,11.0,57.0,75.0,38.0,70.0,52.0,23.4,Right,7.0,37.0,5.1,4.0,High,Academy,12.0,4.0,1
